area_type,availability,location,size,society,total_sqft,bath,balcony,price,location_numerical,,Number of Bedrooms
Plot  Area,Ready To Move,Tharabanahalli,3,,4395,3,2,2400000,1151,,
Super built-up  Area,Ready To Move,Ganga Nagar,2,Laavevi,845,2,1,550000,437,,
Plot  Area,Ready To Move,Whitefield,4,Chranya,5700,5,3,6500000,1252,,
Built-up  Area,Ready To Move,Varthur,2,HioraTr,1160,2,2,440000,1190,,
Built-up  Area,Ready To Move,Bommanahalli,8,,3000,8,0,1400000,269,,
Super built-up  Area,Ready To Move,Doddathoguru,2,,1100,2,1,620000,396,,
Super built-up  Area,18-Apr,Gunjur,2,BMineis,1140,2,3,430000,484,,
Super built-up  Area,Ready To Move,Marathahalli,2,,1220,2,1,570000,799,,
Plot  Area,Ready To Move,Devarachikkanahalli,8,,1350,7,0,850000,371,,
Super built-up  Area,Ready To Move,Kanakpura Road,2,,1005,2,1,366800,664,,
Plot  Area,Ready To Move,Double Road,3,,500,3,2,1000000,407,,
Super built-up  Area,20-Aug,Begur Road,2,Pruthg ,1358,2,1,805800,232,,
Super built-up  Area,Ready To Move,Hegde Nagar,3,Sonosty,1569,3,1,1010000,515,,
Super built-up  Area,18-Apr,Haralur Road,2,SNnia E,1240,2,1,700000,506,,
Super built-up  Area,Ready To Move,Hennur Road,3,Anavi B,2089,3,2,1400000,522,,
Super built-up  Area,Ready To Move,Kothannur,2,,1206,2,1,482300,715,,
Super built-up  Area,Ready To Move,Kalena Agrahara,2,,1150,2,3,400000,641,,
Built-up  Area,Ready To Move,Cholanayakanahalli,3,Viony H,2511,3,3,2050000,335,,
Built-up  Area,Ready To Move,Kaval Byrasandra,2,,460,1,0,220000,678,,
Built-up  Area,Ready To Move,ISRO Layout,6,,4400,6,3,2500000,554,,
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3,AdentEl,1660,2,2,1050000,699,,
Built-up  Area,18-Oct,Hennur Road,4,Gollela,2957 - 3450,,,2245000,522,,
Super built-up  Area,19-Mar,Yelahanka,2,Niareum,1326,2,2,780000,1261,,
Super built-up  Area,Ready To Move,Garudachar Palya,3,,1325,2,2,608000,443,,
Super built-up  Area,Ready To Move,EPIP Zone,3,SJlynro,1499,5,2,1020000,415,,
Built-up  Area,Ready To Move,Hegde Nagar,6,,3000,7,2,2100000,515,,
Super built-up  Area,Ready To Move,Kanakpura Road,3,,1665,3,2,880000,664,,
Super built-up  Area,17-Sep,Dasanapura,2,Tavenew,708,2,2,370000,358,,
Super built-up  Area,Ready To Move,Kasavanhalli,2,Srire S,1060,2,2,580600,670,,
Plot  Area,Ready To Move,Rajaji Nagar,6,,710,6,3,1600000,976,,
Built-up  Area,Ready To Move,Sanjay nagar,2,Saenti ,1000,2,2,700000,1033,,
Super built-up  Area,18-Dec,Electronic City,2,,1000,2,1,288800,417,,
Super built-up  Area,Ready To Move, Mysore Highway,3,,1450,2,2,700000,7,,
Plot  Area,Ready To Move,ISRO Layout,4,,1200,4,2,1550000,554,,
Super built-up  Area,17-Aug,Thanisandra,2,Bhmesy ,1296,2,3,800000,1148,,
Super built-up  Area,Ready To Move,Domlur,3,,1540,3,2,900000,402,,
Plot  Area,Ready To Move,Kengeri,4,Goardth,2894,4,1,2450000,688,,
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3,,1330,2,1,480000,1041,,
Built-up  Area,Ready To Move,Devasthanagalu,2,,1200,2,1,650000,373,,
Built-up  Area,Ready To Move,T Dasarahalli,3,,1200,3,1,900000,1131,,
Super built-up  Area,Ready To Move,Yeshwanthpur,3,IBityin,2502,3,3,1380000,1267,,
Built-up  Area,Ready To Move,Chandapura,2,KHityry,650,1,1,170000,304,,
Plot  Area,Ready To Move,Kothanur,3,BDensar,2400,2,1,1500000,716,,
Super built-up  Area,Ready To Move,Green View Layout,2,Makeser,1007,2,2,430000,475,,
Super built-up  Area,Ready To Move,Shantiniketan Layout,2,Maest N,1200,2,2,500000,1065,,
Super built-up  Area,Ready To Move,Peenya,2,,966,2,2,499000,924,,
Built-up  Area,Ready To Move,Nagarbhavi,3,,1630,2,1,980000,848,,
Built-up  Area,Ready To Move,Rajaji Nagar,3,Brway G,1640,3,2,2290000,976,,
Built-up  Area,Ready To Move,Jalahalli West,2,,782,2,2,556800,591,,
Super built-up  Area,19-Apr,Devanahalli,2,Oznuean,1260,2,2,667800,365,,
Super built-up  Area,Ready To Move,Lakshmiamma Garden,3,,1800,3,3,1200000,744,,
Super built-up  Area,Ready To Move,Byatarayanapura,3,Reeroce,1413,2,2,750000,283,,
Super built-up  Area,Ready To Move,Whitefield,2,Sonviik,1116,2,1,519100,1252,,
Super built-up  Area,Ready To Move,Electronic City,3,DSgmax ,1530,2,1,459000,417,,
Built-up  Area,Ready To Move,Ramamurthy Nagar,4,,3700,4,1,2250000,990,,
Built-up  Area,Ready To Move,Sarjapur  Road,3,Cetattu,2497,3,2,1400000,1039,,
Super built-up  Area,Ready To Move,Kengeri,3,Vaens G,1540,2,3,640000,688,,
Super built-up  Area,18-Dec,Thanisandra,3,,1436,3,1,747500,1148,,
Super built-up  Area,18-Jun,Malleshwaram,2,,1100,2,2,750000,786,,
Plot  Area,Ready To Move,Hennur Road,2,,276,3,3,230000,522,,
Super built-up  Area,Ready To Move,Thanisandra,3,Moity S,1427,3,2,1200000,1148,,
Super built-up  Area,Ready To Move,Akshaya Nagar,3,HiahsLa,2061,3,1,2000000,98,,
Super built-up  Area,18-Mar,Hebbal,4,SNontle,3067 - 8156,4,0,4770000,513,,
Built-up  Area,Ready To Move,Shampura,4,,2650,4,2,1500000,1059,,
Super built-up  Area,22-Dec,Devanahalli,3,Sabixtt,1282,2,2,685200,365,,
Built-up  Area,Ready To Move,Kadugodi,2,,1050,2,1,340000,635,,
Built-up  Area,Ready To Move,LB Shastri Nagar,3,Sragei ,1600,3,2,650000,737,,
Super built-up  Area,22-Jan,Vajarahalli,2,,945,2,1,540000,1187,,
Super built-up  Area,Ready To Move,Hormavu,2,SyidaCr,1500,2,1,780000,535,,
Plot  Area,Ready To Move,Vishwapriya Layout,7,,950,7,0,1150000,1236,,
Built-up  Area,Ready To Move,Peenya,3,Jahts H,1870,3,3,1100000,924,,
Plot  Area,Ready To Move,Sarjapur,3,Inensba,1600,3,1,750000,1038,,
Super built-up  Area,Ready To Move,Electronic City,2,Itelaa ,880,1,1,165000,417,,
Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,4,,1200,4,0,2100000,995,,
Super built-up  Area,Ready To Move,Kudlu Gate,3,Srier P,1535,3,2,830000,722,,
Built-up  Area,Ready To Move,Kanakpura Road,2,Wiowsri,950,2,1,570000,664,,
Super built-up  Area,18-Aug,Devanahalli,2,Derdsig,1360,2,1,650000,365,,
Super built-up  Area,19-Mar,8th Phase JP Nagar,2,Vaarech,1042 - 1105,2,0,540050,74,,
Super built-up  Area,18-May,Bommasandra Industrial Area,3,,1280,3,1,504000,271,,
Super built-up  Area,19-Jan,Chandra Layout,3,TiaksAa,1260,2,2,850500,305,,
Built-up  Area,Ready To Move,Hennur Road,8,,5000,8,,2500000,522,,
Super built-up  Area,19-Dec,Yelahanka,5,LedorSa,3050,5,1,2130000,1261,,
Super built-up  Area,Ready To Move,Kasavanhalli,3,HMwerCo,1563.05,3,1,1050000,670,,
Super built-up  Area,Ready To Move,ISRO Layout,2,,1000,2,1,600000,554,,
Super built-up  Area,17-Jul,Anandapura,2,Viens,1167,2,1,437600,118,,
Super built-up  Area,Ready To Move,Vishveshwarya Layout,7,,4000,7,2,2250000,1234,,
Super built-up  Area,Ready To Move,Kothanur,3,Somumys,1828,3,,1100000,716,,
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2,HoiewLa,890,2,1,350000,690,,
Super built-up  Area,Ready To Move,Basavanapura,3,Dwity T,1612,3,3,467400,222,,
Plot  Area,Ready To Move,Dinnur,6,,1034,5,,1850000,376,,
Super built-up  Area,19-Apr,Mysore Road,3,Brama P,1710,4,2,913100,837,,
Super built-up  Area,Ready To Move,Kannamangala,2,VBownre,957,2,1,580000,665,,
Super built-up  Area,18-May, Devarachikkanahalli,3,,1250,2,3,440000,5,,
Super built-up  Area,Ready To Move,Sanjeevini Nagar,3,Betatsi,2795,4,,2350000,1034,,
Super built-up  Area,Ready To Move,Hulimavu,2,Prcan P,1125,2,2,500000,549,,
Super built-up  Area,18-Jul,Electronic City Phase II,2,Sryalan,1020,2,1,306000,419,,
Super built-up  Area,Ready To Move,Kalena Agrahara,2,,1200,2,2,500000,641,,
Super built-up  Area,Ready To Move,Thanisandra,3,Soitya ,1735,3,3,1350000,1148,,
Super built-up  Area,Ready To Move,Thanisandra,3,G conTh,2050,3,1,1450000,1148,,
Plot  Area,Ready To Move,Mahalakshmi Layout,4,,3750,4,0,7600000,775,,
Built-up  Area,Ready To Move,Yarandahalli,3,,1350,2,3,480000,1258,,
Super built-up  Area,18-May,Hosa Road,2,SStusan,1063,2,1,320000,536,,
Super built-up  Area,Ready To Move,Keshava Nagar,3,ETens G,1904,3,1,1500000,695,,
Built-up  Area,Ready To Move,Whitefield,4,,4200,4,2,4200000,1252,,
Super built-up  Area,Ready To Move,RMV Extension,3,Hohnari,2000,3,1,1750000,955,,
Super built-up  Area,18-Dec,Sarjapur,2,Kinuerg,1145 - 1340,2,0,434900,1038,,
Super built-up  Area,Ready To Move,Tejaswini Nagar,3,Naods W,1425,2,2,750000,1146,,
Super built-up  Area,Ready To Move,Electronic City,3,GMown E,1500,2,1,645000,417,,
Built-up  Area,Ready To Move,Electronic City,2,GMown E,1060,2,1,600000,417,,
Built-up  Area,Ready To Move,Jai Bheema Nagar,3,Sancyra,1470,2,2,700000,581,,
Super built-up  Area,Ready To Move,Kothnur Narayanapura,6,,1300,6,0,990000,718,,
Super built-up  Area,Ready To Move,Attibele,1,Jae 1hu,450,1,1,110000,152,,
Super built-up  Area,18-Apr,Electronic City,2,Praun,1152,2,1,645000,417,,
Super built-up  Area,Ready To Move,Electronic City,3,GMown E,1350,2,1,560000,417,,
Super built-up  Area,Ready To Move,CV Raman Nagar,3,Srshq T,1550,3,3,650000,292,,
Plot  Area,Ready To Move,CHIKKATIRUPATHI,3,,1500,3,2,1000000,287,,
Plot  Area,Ready To Move,Kumaraswami Layout,5,,600,3,2,850000,727,,
Plot  Area,Ready To Move,Nagavara,1,,400,1,0,140000,853,,
Super built-up  Area,Ready To Move,Malleshwaram,1,Utntspa,705,1,2,670000,786,,
Built-up  Area,Ready To Move,Electronic City,2,GMown E,770,1,1,360000,417,,
Super built-up  Area,Ready To Move,Hulimavu,2,Aniona ,1242,2,3,510000,549,,
Super built-up  Area,Ready To Move,Hebbal Kempapura,3,Goateds,1700,3,2,1550000,514,,
Super built-up  Area,Ready To Move,Thanisandra,3,Soitya ,2144,3,2,1450000,1148,,
Super built-up  Area,21-Jun,Vijayanagar,3,Saahaat,1704,3,2,1100000,1222,,
Super built-up  Area,Ready To Move,Electronic City,2,GMown E,1070,2,1,520000,417,,
Plot  Area,Ready To Move,8th block Koramangala,3,,1846,3,2,3000000,75,,
Super built-up  Area,Ready To Move,Jakkuru Layout,2,,1340,2,2,557000,587,,
Built-up  Area,Ready To Move,Electronic City,2,GMown E,1025,2,1,460000,417,,
Super built-up  Area,Ready To Move,KR Puram,2,MCvarar,1015 - 1540,2,0,568000,626,,
Super built-up  Area,Ready To Move,Marathahalli,2,VRave E,1200,2,2,520000,799,,
Built-up  Area,18-Dec,Kanakpura Road,4,,2250,4,1,1100000,664,,
Super built-up  Area,Ready To Move,Pattandur Agrahara,3,MaidoPl,1550,2,3,800000,922,,
Plot  Area,Ready To Move,Bellandur,4,,1200,5,,3250000,236,,
Plot  Area,Ready To Move,Ejipura,7,,1800,7,1,2500000,416,,
Super built-up  Area,Ready To Move,Marathahalli,2,Aiitya ,1200,2,2,600000,799,,
Super built-up  Area,Ready To Move,Yelahanka,2,PuziaVe,1327,2,2,980000,1261,,
Super built-up  Area,Ready To Move,Kothanur,2,,1186,2,2,580000,716,,
Built-up  Area,Ready To Move,MS Pallya,3,,1783,3,1,1150000,768,,
Super built-up  Area,Ready To Move,HSR Layout,3,NRosete,1400,3,2,560000,494,,
Super built-up  Area,Ready To Move,Nagasandra,2,,980,2,1,480000,851,,
Super built-up  Area,Ready To Move,EPIP Zone,2,,1285,2,2,820000,415,,
Super built-up  Area,Ready To Move,Langford Town,3,,912,2,1,700000,752,,
Built-up  Area,Ready To Move,Whitefield,2,Sancya ,1225,2,2,476000,1252,,
Super built-up  Area,Ready To Move,Whitefield,2,,1075,2,1,530000,1252,,
Built-up  Area,Ready To Move,Kadugodi,3,MSingco,1260,2,2,540000,635,,
Super built-up  Area,Ready To Move,Yelahanka,3,Pyikad ,1282,2,2,487000,1261,,
Super built-up  Area,Ready To Move,Kogilu,3,CaIRSCr,1909,3,2,880000,707,,
Super built-up  Area,Ready To Move,Panathur,2,Prcesvy,1359,2,1,870000,914,,
Built-up  Area,Ready To Move,Nagondanahalli,2,,1207,2,2,435000,856,,
Plot  Area,Ready To Move,Padmanabhanagar,4,,1736,6,0,1900000,907,,
Super built-up  Area,20-May,1st Block Jayanagar,4,,2850,4,1,4280000,27,,
Super built-up  Area,Ready To Move,Kammasandra,3,Emstael,1595,3,2,650000,654,,
Built-up  Area,18-Jun,"Off Sarjapur Road, ",3,,1798,3,2,890000,892,,
Super built-up  Area,Ready To Move,Electronics City Phase 1,3,SNdri N,1475,3,2,782900,422,,
Super built-up  Area,Ready To Move,Tala Cauvery Layout,3,HodhiSa,1580,3,3,1000000,1140,,
Super built-up  Area,Ready To Move,Dasarahalli,2,Syonyph,1295,2,1,650000,360,,
Built-up  Area,Ready To Move,Magadi Road,6,,3600,6,0,1410000,772,,
Super built-up  Area,Ready To Move,Electronic City,1,Itvir M,589,1,1,270000,417,,
Super built-up  Area,Ready To Move,Ngef Layout,3,,1415,3,3,780000,883,,
Super built-up  Area,18-Dec,Sarjapur  Road,3,Kla L,1787,3,2,982900,1039,,
Super built-up  Area,Ready To Move,Sarjapur  Road,3,Kla L,1787,3,2,1250000,1039,,
Super built-up  Area,Ready To Move,Koramangala,3,Piityra,1475,2,3,900000,713,,
Built-up  Area,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",4,,2000,4,1,755000,746,,
Super built-up  Area,19-Mar,Sarjapur  Road,2,AsastDe,984,2,1,442800,1039,,
Super built-up  Area,19-Dec,Devanahalli,3,Jurdsig,1520 - 1740,,,748200,365,,
Super built-up  Area,Ready To Move,Muthurayya Swamy Layout,3,MacleK ,2405,4,2,2600000,834,,
Built-up  Area,Ready To Move,7th Phase JP Nagar,2,Brnia G,1080,2,2,720000,72,,
Plot  Area,Ready To Move,Shantiniketan Layout,2,,1500,2,1,1150000,1065,,
Super built-up  Area,Ready To Move,Hebbal,3,,1900,3,2,1190000,513,,
Super built-up  Area,19-Aug,Dommasandra,2,,805,2,1,221400,404,,
Super built-up  Area,Ready To Move,Budigere,2,PrityTr,1153,2,2,564000,278,,
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2,AlEcone,1148,2,2,600000,383,,
Super built-up  Area,Ready To Move,Mylasandra,2,Laowsba,1110,2,2,550000,836,,
Built-up  Area,Ready To Move,Electronic City,2,Saave R,1100,2,2,420000,417,,
Super built-up  Area,Ready To Move,Kalyan nagar,2,Anave S,1290,2,2,1100000,646,,
Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,3,,1500,2,1,650000,408,,
Super built-up  Area,18-Apr,Bank Of Baroda Colony,2,,1080,2,2,390000,214,,
Super built-up  Area,21-Jun,Vijayanagar,3,Saityat,1933,3,1,1290000,1222,,
Built-up  Area,Ready To Move,Ramamurthy Nagar,5,,3500,5,2,1500000,990,,
Built-up  Area,Ready To Move,Kullappa Colony,2,,1060,2,2,600000,724,,
Super built-up  Area,18-Aug,Chandapura,1,SunceEs,645,1,1,164500,304,,
Plot  Area,Ready To Move,Mukkutam Nagar,8,,2600,8,2,1800000,828,,
Super built-up  Area,18-Sep,Chandapura,1,SunceEs,645,1,1,164500,304,,
Super built-up  Area,Ready To Move,Ashwath Nagar,3,SJcerpe,1644,3,3,840000,147,,
Super built-up  Area,Ready To Move,Ncpr Industrial Layout,2,Supams ,1285,2,3,725000,872,,
Plot  Area,Ready To Move,Electronic City,3,,1200,3,1,900000,417,,
Super built-up  Area,Ready To Move,Electronic City,2,CoapeSo,910,2,1,400000,417,,
Super built-up  Area,Ready To Move,Kothanur,3,Bisic C,1577,3,1,700000,716,,
Plot  Area,17-May,Meenakunte,3,Sreat R,4050,3,2,2800000,820,,
Super built-up  Area,Ready To Move,OMBR Layout,3,Inntsa ,2420,3,2,1850000,889,,
Super built-up  Area,Ready To Move,Chandapura,2,KHityry,800,1,1,200000,304,,
Built-up  Area,Ready To Move,Anand Nagar,2,,1060,2,2,550000,116,,
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,BriumMi,1270,2,2,930000,72,,
Super built-up  Area,18-Jun,Shree Ananth Nagar Layout,2,,900,2,2,225000,1076,,
Built-up  Area,Ready To Move,Kundalahalli Colony,2,,1280,2,1,690000,732,,
Plot  Area,Ready To Move,Horamavu Agara,4,,1200,2,0,950000,533,,
Built-up  Area,Ready To Move,Sarjapur  Road,2,,1025,2,2,360000,1039,,
Super built-up  Area,17-Jun,Electronic City,2,Praun,1108,2,1,630000,417,,
Plot  Area,Ready To Move,MCECHS  layout,5,,1200,5,,1700000,763,,
Super built-up  Area,Ready To Move,Coffee Board Layout,3,Calyxy ,3045,3,2,1700000,345,,
Plot  Area,Ready To Move,Ambedkar Nagar,4,Thessrm,2900,3,2,3000000,110,,
Super built-up  Area,Ready To Move,Vijayanagar,3,JJortom,1500,3,2,755000,1222,,
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1295,2,2,439000,972,,
Super built-up  Area,Ready To Move,Budigere,2,PrityTr,1162,2,1,599000,278,,
Super built-up  Area,Ready To Move,Sarjapur  Road,2,Usquaya,1035,2,2,492000,1039,,
Built-up  Area,Ready To Move,Attibele,4,Natic T,1600,4,0,528000,152,,
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3,,1464,3,2,460000,628,,
Super built-up  Area,18-Oct,Hennur Road,3,DSapeSk,1866,2,2,615800,522,,
Super built-up  Area,Ready To Move,Geleyara Balaga Layout,2,Jahtsa ,700,1,1,260000,451,,
Super built-up  Area,Ready To Move,Kalena Agrahara,3,Prillot,1804,3,2,1200000,641,,
Super built-up  Area,Ready To Move,Sarjapur,2,,913,2,1,320000,1038,,
Super built-up  Area,21-Dec,Talaghattapura,3,Sodgere,1868,3,2,1310000,1141,,
Built-up  Area,Ready To Move,Kengeri Satellite Town,2,,883,2,1,450000,690,,
Plot  Area,Ready To Move,Sundara Nagar,2,,900,2,1,1100000,1121,,
Super built-up  Area,Ready To Move,Kogilu,3,,1664,2,3,739500,707,,
Super built-up  Area,Ready To Move,Hegde Nagar,3,SoitaCa,2026,3,2,1320000,515,,
Super built-up  Area,Ready To Move,Balagere,2,Soestin,1210,2,1,809000,188,,
Plot  Area,Ready To Move,Meenakunte,4,Sreat R,4111,4,2,2500000,820,,
Super built-up  Area,Ready To Move,Kadugodi,3,Alestrb,1762,3,3,914500,635,,
Super built-up  Area,Ready To Move,Jigani,3,DLhtsen,1252,3,3,550000,606,,
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,2,Mauner ,861,2,1,345000,461,,
Built-up  Area,Ready To Move,7th Phase JP Nagar,3,Brnia G,1420,2,1,1000000,72,,
Plot  Area,Ready To Move,Srirampura,6,,1450,6,0,2500000,1105,,
Built-up  Area,Ready To Move,Electronics City Phase 1,3,GaicaVe,1490,3,1,788000,422,,
Super built-up  Area,Ready To Move,Bisuvanahalli,3,,1075,2,1,460000,268,,
Super built-up  Area,18-Aug,Old Madras Road,3,Saesttt,1425,2,2,940000,896,,
Built-up  Area,Ready To Move,Kalena Agrahara,2,Nae 2El,1200,2,1,400000,641,,
Super built-up  Area,Ready To Move,Kaggadasapura,3,,1280,2,2,560000,637,,
Super built-up  Area,Ready To Move,Silver Springs Layout,2,Bhinglv,1084,2,2,500000,1080,,
Super built-up  Area,18-Jul,Chandapura,2,SunceEs,1015,2,2,258800,304,,
Super built-up  Area,21-May,Kanakpura Road,2,GolusLi,1017,2,1,512500,664,,
Super built-up  Area,Ready To Move,Haralur Road,2,,1027,2,2,440000,506,,
Super built-up  Area,Ready To Move,Electronic City Phase II,2,Coush W,1069,2,2,450000,419,,
Super built-up  Area,Ready To Move,Hebbal,2,Prersis,1349,2,1,982000,513,,
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2,NaensGa,1005,2,1,500000,77,,
Super built-up  Area,Ready To Move,Jakkur,2,Arzzo P,1417,2,3,750000,584,,
Plot  Area,18-Jan,TC Palaya,3,,1475,3,1,980000,1138,,
Carpet  Area,Ready To Move,Maruthi Sevanagar,2,SMikaay,950,2,2,470000,810,,
Super built-up  Area,Ready To Move,RMV 2nd Stage,4,Prave E,2000,4,0,1200000,954,,
Plot  Area,Ready To Move,Giri Nagar,3,,880,3,1,1400000,453,,
Super built-up  Area,Ready To Move,Sarjapur  Road,4,Ahriaup,1863,3,2,1040000,1039,,
Super built-up  Area,Ready To Move,Singasandra,2,Priewhi,1010,2,1,295000,1084,,
Super built-up  Area,Ready To Move,Kalena Agrahara,3,Shodsth,1425,2,1,700000,641,,
Super built-up  Area,Ready To Move,Vijayanagar,3,Swadeh ,1450,3,0,1000000,1222,,
Super built-up  Area,Ready To Move,Kothanur,3,Somumys,1847,3,2,1050000,716,,
Super built-up  Area,Ready To Move,AECS Layout,2,Soran U,1100,2,3,450000,80,,
Super built-up  Area,20-Dec,Kanakpura Road,1,PrarePa,525,1,1,260000,664,,
Super built-up  Area,Ready To Move,Mallasandra,3,Puestig,1665,3,2,950000,783,,
Super built-up  Area,Ready To Move,Begur,4,Prntsrt,1664,4,3,650000,231,,
Super built-up  Area,Ready To Move,JP Nagar,3,Maerar ,1850,3,3,1500000,575,,
Super built-up  Area,Ready To Move,Panathur,2,Vaesh T,1438,2,3,1000000,914,,
Super built-up  Area,Ready To Move,Sunder Ram Shetty Nagar,3,MaisePa,1560,3,3,1150000,1122,,
Super built-up  Area,18-Apr,Yelahanka,2,,1350,2,1,555500,1261,,
